Course Name,County,Province,Played ?,lat,lon
Summerhill Golf Club,Meath,Leinster,,53.4807969,-6.7321526
Silverwood Golf Centre,Armagh,Ulster,,54.2358295,-7.1194156
St Anne's Golf Club,Dublin,Leinster,,53.3741855,-6.1405452
Sutton Golf Club,Dublin,Leinster,,53.3912287,-6.1081437
Skellig Bay Golf Club,Kerry,Munster,,52.1453345,-9.5174011
St Helen's Bay Golf Club,Down,Ulster,,54.6729611,-5.743868
Swinford Golf Club,Mayo,Connacht,,53.9333585,-8.9548508
Skerries Golf Club,Dublin,Leinster,,53.5592846,-6.1155458
St Margaret's Golf Club,Dublin,Leinster,,53.32077,-6.2352268
Swords Open Golf Club,Dublin,Leinster,,53.4880607,-6.2643967
Skibbereen and West Carbery Golf Club,Cork,Munster,,51.8985136,-8.4726423
St Patricks Links Golf Club,Donegal,Ulster,,54.6537924,-8.1102616
Slieve Russell Golf Club,Cavan,Ulster,,54.0916401,-7.5599605
Stackstown Golf Club,Dublin,Leinster,,53.2593588,-6.2659902
Tandragee Golf Club,Armagh,Ulster,,54.3525124,-6.4123562
The K Club,Kildare,Leinster,,53.3081,-6.6256
Tramore Golf Club,Waterford,Munster,,52.1590388,-7.1759439
Tara Glen Golf Club,Meath,Leinster,,53.6670767,-6.6829865
The Kerries Golf Club,Kerry,Munster,,52.2690594,-9.7233194
Trump International Golf Links & Hotel Doonbeg,Clare,Munster,,52.7483,-9.5161
Temple Golf Club,Down,Ulster,,54.3759699,-5.5809938
The Open Golf Club,Dublin,Leinster,,53.3224486,-6.265824
Tuam Golf Club,Galway,Connacht,,53.4939859,-8.8324517
Templemore Golf Club,Tipperary,Munster,,52.7875598,-7.8412387
Thurles Golf Club,Tipperary,Munster,,52.6605641,-7.8029575
Tubbercurry Golf Club,Sligo,Connacht,,54.0539302,-8.730565
The European Club,Wicklow,Leinster,,52.9802376,-6.0414184
Tipperary Golf Club,Tipperary,Munster,,52.4572964,-8.1523199
Tulfarris Golf Club,Wicklow,Leinster,,53.1264214,-6.5653298
The Heath Golf Club,Laois,Leinster,,53.0621928,-7.2130942
Townley Hall Golf Club,Louth,Leinster,,53.7290487,-6.4233436
Tullamore Golf Club,Offaly,Leinster,,53.2415552,-7.5330173
The Heritage Golf & Spa Resort,Laois,Leinster,,52.9984575,-7.3980338
Traad Ponds Golf Club,Cork,Munster,,51.8985136,-8.4726423
Turvey Golf Club,Meath,Leinster,,53.6497514,-6.5884245
The Island Golf Club,Dublin,Leinster,,53.461551,-6.1345027
Tralee Golf Club,Kerry,Munster,,52.2783,-9.8053
Vartry Lakes Golf Club,Wicklow,Leinster,,52.9802376,-6.0414184
Virginia Golf Club,Cavan,Ulster,,53.8320433,-7.0914704
Warrenpoint Golf Club,Down,Ulster,,54.1087176,-6.2693919
Westmanstown Golf Club,Dublin,Leinster,,53.3762092,-6.4448434
Woodbrook Golf Club,Wicklow,Leinster,,52.7942475,-6.1778524
Water Rock Golf Club,Waterford,Munster,,52.2609997,-7.1119081
Westport Golf Club,Mayo,Connacht,,53.8127728,-9.5633145
Woodenbridge Golf Club,Wicklow,Leinster,,52.8333501,-6.2305728
Waterford Castle Golf Club,Waterford,Munster,,52.2516423,-7.0583806
Wexford Golf Club,Wexford,Leinster,,52.320857,-6.4666711
Woodlands Golf Club,Sligo,Connacht,,54.2826026,-8.4664276
Waterford Golf Club,Waterford,Munster,,52.2516423,-7.0583806
Whitehead Golf Club,Antrim,Ulster,,54.7658756,-5.7068463
Woodstock Golf Club,Kilkenny,Leinster,,52.472539,-7.0585029
Waterville Golf Links,Kerry,Munster,,51.8267,-10.1802
Wicklow Golf Club,Wicklow,Leinster,,52.9749263,-6.0260528
West Waterford Golf Club,Waterford,Munster,,52.205124,-7.1860335
Williamstown Golf Club,Galway,Connacht,,53.6779163,-8.5786917
Youghal Golf Club,Cork,Munster,,51.9428648,-7.8441248
